Business Name,Industry Category,Business Description,Location,Google Maps Profile Link,OpenStreetMap Link,Website URL,Website Classification,Website Status Code,HTTPS Used,Contact Page Found,Services Page Found,Website Analysis Reason,Online Presence Type,Referral Platform Links,Phone Number,Email Address,Owner / Founder Name,LinkedIn Profile,Lead Score,Business Potential Category,Reason for Classification,Detailed Score Reason,Source,Scrape Status,Created Date
Navodaya Medicose,pharmacy,Pharmacy listed on OpenStreetMap,"19, Suman Nagar, Indore","https://www.google.com/maps/search/?api=1&query=22.7532428,75.8998828",https://www.openstreetmap.org/node/6187540870,https://www.mappls.com/98ggp0,Poor Website,,,,,,Official Website Found,https://www.medindia.net/directories/hospitals/madhya-pradesh/indore/index.htm | https://www.justdial.com/Indore/Ayurvedic-Medical-Shops/nct-10029927,"07314986227 ,7772866882",navodayamedicose@gmail.com,,,60,High,Business has an online presence but lacks a strong modern digital platform.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address is available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
Kanak Hospital,hospital,Hospital listed on OpenStreetMap,Indore,"https://www.google.com/maps/search/?api=1&query=22.7650473,75.8871227",https://www.openstreetmap.org/node/6187557408,https://bharatbz.com/madhya/kanak-hospital-research-center-1462719,Poor Website,,,,,,Official Website Found,https://www.justdial.com/Indore/Kanak-Hospital-Near-Doshi-Honda-Service-Center-Near-Vijay-Nagar-Square-Vijay-Nagar/0731PX731-X731-160319065302-Z6Q8_BZDET | https://www.justdial.com/Indore/Kanak-Orthopaedic-Hospital-Scheme-78/0731PX731-X731-230323011919-T1N1_BZDET | https://www.lybrate.com/indore/clinic/dr-kundan-kushwah-clinic,9425056412,kanakorthopaedicshospital@gmail.com,,,60,High,Business has an online presence but lacks a strong modern digital platform.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address is available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
Ankita parihar dental clinic,dentist,Dentist listed on OpenStreetMap,Indore,"https://www.google.com/maps/search/?api=1&query=22.7674167,75.8965802",https://www.openstreetmap.org/node/6187556922,https://teeth.in/dentists/indore/,Poor Website,,,,,,Official Website Found,https://www.justdial.com/Indore/Dr-Ankita-Parihar-Dental-Clinic-Vijay-Nagar/0731PX731-X731-150803170509-P6L2_BZDET | https://www.justdial.com/Indore/Clinics/nct-10101647 | https://www.justdial.com/Indore/Dr-Anita-V-Dubey-Mahalaxmi-Nagar/0731PX731-X731-180904092007-Z8B8_BZDET,9111851111,parihar_anki@yahoo.co.in,,,60,High,Business has an online presence but lacks a strong modern digital platform.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address is available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
Dr. Lal Path Labs,laboratory,Laboratory listed on OpenStreetMap,Indore,"https://www.google.com/maps/search/?api=1&query=22.7569453,75.8989153",https://www.openstreetmap.org/node/6187434778,https://www.lalpathlabs.com/,Poor Website,,,,,,Official Website,,9993399884,customer.care@lalpathlabs.com,,https://www.linkedin.com/company/dr-lal-pathlabs/,55,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address is available,OpenStreetMap,Completed,2026-06-27
Yoga Amrutam,hospital,Hospital listed on OpenStreetMap,"C-173, vasant vihar colony, Indore","https://www.google.com/maps/search/?api=1&query=22.7579241,75.9020955",https://www.openstreetmap.org/node/6187427616,https://yogaamrutam.com/,Poor Website,,,,,,Official Website,,9826099886,yoga@yogaamrutam.com,,,55,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address is available,OpenStreetMap,Completed,2026-06-27
Family Dental Clinic,dentist,Dentist listed on OpenStreetMap,Indore,"https://www.google.com/maps/search/?api=1&query=22.7581237,75.9020240",https://www.openstreetmap.org/node/6187425277,https://familydentalcareindore.com/,Poor Website,,,,,,Official Website,,9752650505,misterneo@gmail.com,,,55,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address is available,OpenStreetMap,Completed,2026-06-27
Gehm Clinic and Research Centre,clinic,Clinic listed on OpenStreetMap,"Lahiya Colony;Main Road, Indore","https://www.google.com/maps/search/?api=1&query=22.7643869,75.8770746",https://www.openstreetmap.org/node/6187441512,www.gehmclinicresearchcentre.com,Poor Website,,,,,,Official Website,,+918893703600,sadguruhclinic@gmail.com,,,55,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address is available,OpenStreetMap,Completed,2026-06-27
AKAMI Ayurveda,hospital,Hospital listed on OpenStreetMap,"C-30/31, basant vihar, indore","https://www.google.com/maps/search/?api=1&query=22.7575457,75.9025743",https://www.openstreetmap.org/node/6187463099,http://akamiayurveda.org/patient_admission/,Poor Website,,,,,,Official Website Found,,07312557155,akamiindore@gmail.com,,,55,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address is available,OpenStreetMap,Completed,2026-06-27
कैंसर केअर सेंटर,clinic,Clinic listed on OpenStreetMap,"F-F 05, Scheme No. 54, Vijay Nagar, Indore","https://www.google.com/maps/search/?api=1&query=22.7569843,75.8860928",https://www.openstreetmap.org/node/6189270336,http://www.cancerhealer.in,Poor Website,,,,,,Official Website,,7314293343,info@cancerhealercenter.in,,,55,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address is available,OpenStreetMap,Completed,2026-06-27
Arshid shah,pharmacy,Pharmacy listed on OpenStreetMap,"Dhar road, 452001","https://www.google.com/maps/search/?api=1&query=22.7096242,75.8270791",https://www.openstreetmap.org/node/4522507595,https://www.latlong.net/poi/arshid-shah-411182,Poor Website,,,,,,Official Website Found,,8103012446,shah.arshid05@rediffmail.com,,,55,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address is available,OpenStreetMap,Completed,2026-06-27
S. Kumar Homeopathic,pharmacy,Pharmacy listed on OpenStreetMap,"EB 303, Scheme No 94, Bombay Hospital Square, Indore","https://www.google.com/maps/search/?api=1&query=22.7538664,75.9052572",https://www.openstreetmap.org/node/6187441511,https://nhpr.abdm.gov.in/nhpr/v4,Poor Website,,,,,,Official Website Found,https://www.medindia.net/directories/hospitals/dr-s-kumar-holistic-scientific-homeopathic-clinic-indore-madhya-pradesh-28803.htm | https://www.justdial.com/Indore/Dr-Saurabh-Kumar-dr-S-Kumars-Holistic-Scientific-Homeopathic-Clinic-Near-Bombay-Hospital-Square-Tilak-Nagar-Indore/0731PX731-X731-150810194412-M9N6_BZDET | https://www.facebook.com/KumarsHomeopathy/,9826008788,,,,50,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
डॉक्टर सचिन सोनी,doctors,Doctors listed on OpenStreetMap,Indore,"https://www.google.com/maps/search/?api=1&query=22.7550797,75.8882385",https://www.openstreetmap.org/node/6187450387,https://www.hexahealth.com/indore/hospital/choithram-hospital-indore,Poor Website,,,,,,Official Website Found,https://www.practo.com/indore | https://www.instagram.com/reel/DNVN-KRSK79/,9111109988,,,,50,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
Dr. Anil Jain,clinic,Clinic listed on OpenStreetMap,"C-2, New Anjani Nagar, Bhamori, Indore","https://www.google.com/maps/search/?api=1&query=22.7458028,75.8864186",https://www.openstreetmap.org/node/6188028581,https://www.latlong.net/poi/dr-anil-jain-396381,Poor Website,,,,,,Official Website Found,https://www.medindia.net/directories/doctors/dr-anil-jain-orthopedics-indore-madhya-pradesh-82319.htm | https://www.justdial.com/Indore/Dr-Anil-Jain-Bafna-Opposite-Vaishnav-High-School-North-Rajmohalla/0731PX731-X731-220430231418-E8S4_BZDET,9425075662,,,,50,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
डॉ. प्रीती शर्मा,doctors,Doctors listed on OpenStreetMap,Indore,"https://www.google.com/maps/search/?api=1&query=22.7502750,75.9008677",https://www.openstreetmap.org/node/6187570805,https://www.hexahealth.com/indore/hospital/choithram-hospital-indore,Poor Website,,,,,,Official Website Found,https://www.justdial.com/Indore/Hospitals/nct-10253670,8982376220,,,,50,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
Bhawna Medical,pharmacy,Pharmacy listed on OpenStreetMap,"123/1, Anjani Nagar, Bhamori, Indore","https://www.google.com/maps/search/?api=1&query=22.7461825,75.8870436",https://www.openstreetmap.org/node/6190339162,https://bhv.co.in/,Poor Website,,,,,,Official Website Found,https://www.practo.com/,9826436949,,,,50,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
Gagan Medical,pharmacy,Pharmacy listed on OpenStreetMap,"A-6/1, New Anjani Nagar, Bhamori, Indore","https://www.google.com/maps/search/?api=1&query=22.7459580,75.8865914",https://www.openstreetmap.org/node/6190347200,https://www.ask4healthcare.com/healthcaresolutions/DesktopModules/SearchCommon/HospitalSearchBySpecialization.aspx?city=Indore,Poor Website,,,,,,Official Website Found,https://www.justdial.com/Indore/Anjani-Hospital-Anjani-Nagar/0731P731STD70238_BZDET | https://www.medindia.net/directories/hospitals/ganga-clinic-indore-madhya-pradesh-21343.htm | https://www.google.com/,97539 50222,,,,50,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
Dr. Mutha,doctors,Doctors listed on OpenStreetMap,Gita Bhavan intersection,"https://www.google.com/maps/search/?api=1&query=22.7185930,75.8855881",https://www.openstreetmap.org/node/4310485189,https://gitabhawanhospital.org/,Poor Website,,,,,,Official Website Found,https://www.justdial.com/Indore/Dr-Mutha-Sudarshan-Clinic-Geeta-Bhawan/0731P731STD1520844_BZDET | https://www.justdial.com/Nashik/Dr-B-K-Mutha-Dr-Mutha-Hospital-Behind-I-T-I-Gautam-Nagar-Midc-Satpur-Colony-Satpur/0253PX253-X253-140324194309-G1R3_BZDET | https://www.justdial.com/Nashik/Dr-Mutha-Hospital-Behind-Iti-Near-Pf-Office-Satpur-Midc-Area-Satpur/0253P253STD7000162_BZDET,+9198-26-150111,,Gita Bhawan Trust Gopaldas Mittal,,50,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
डॉक्टर बांझल मधुमेह एवं हार्मोन रोग विशेषज्ञ,doctors,Doctors listed on OpenStreetMap,Indore,"https://www.google.com/maps/search/?api=1&query=22.7538943,75.8858829",https://www.openstreetmap.org/node/6187461842,https://www.shalby.org/,Poor Website,,,,,,Official Website Found,https://en.wikipedia.org/wiki/Wikipedia:Vital_articles/List_of_all_articles | https://www.justdial.com/Indore/Dermatologists-for-Skin-Tags-And-Mole-Removal-in-Coastal-Skin-Clinic-Bhawar-Kuan/nct-10156786-att-der2050,"07312551111 , 9303219422",info@shalby.org,,https://in.linkedin.com/company/shalby-hospitals,50,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
डॉक्टर विजय चोरड़िया,doctors,Micro Surgery Specialist,Indore,"https://www.google.com/maps/search/?api=1&query=22.7537144,75.8857595",https://www.openstreetmap.org/node/6187534239,https://www.hexahealth.com/indore/hospital/choithram-hospital-indore,Poor Website,,,,,,Official Website Found,https://www.justdial.com/Indore/Dr-Vijay-Nichani-Eureka-Hospital-Research-Centre-Pvt-Ltd-Saket-Nagar/0731PX731-X731-170127221544-Y3H2_BZDET/clinic-locations | https://www.justdial.com/Indore/Choithram-Hospital-Near-Rajeev-Gandhi-Road-Manik-Bagh-Road-Indore/0731PX731-X731-191126075022-B2W2_BZDET,"07312550044 , 9301550045",,,,50,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
डॉ सीमा गुप्ता,doctors,Doctors listed on OpenStreetMap,Indore,"https://www.google.com/maps/search/?api=1&query=22.7573302,75.8843211",https://www.openstreetmap.org/node/6188104191,https://hospital.sriaurobindouniversity.edu.in/,Poor Website,,,,,,Official Website Found,https://www.justdial.com/Indore/Hospitals/nct-10253670,9826776168,,,,50,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
Sanvi Dental Clinic,dentist,Dentist listed on OpenStreetMap,Indore,"https://www.google.com/maps/search/?api=1&query=22.7639220,75.8886771",https://www.openstreetmap.org/node/6187565605,https://dentistinsider.in/dental-clinics-in-indore-mp,Poor Website,,,,,,Official Website Found,https://www.justdial.com/Indore/SANVI-HEALTH-CARE-Sindhu-Nagar/0731PX731-X731-240104203032-K6X5_BZDET | https://mapcarta.com/N6187565605 | https://www.medindia.net/directories/hospitals/dental-clinic-indore-madhya-pradesh-8426.htm,9827651658,,,,50,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
डॉक्टर अरविंद कींगर,doctors,Doctors listed on OpenStreetMap,Indore,"https://www.google.com/maps/search/?api=1&query=22.7532110,75.8879408",https://www.openstreetmap.org/node/6187591828,https://choithramhospital.com/,Poor Website,,,,,,Official Website Found,https://www.justdial.com/Indore/Dr-Arvind-Kinger-Dr-Arvind-Kingers-Ent-Clinic-Behind-ICICI-Bank-Atm-Opposite-Meghdooth-Garden-Vijay-Nagar/0731PX731-X731-230713144853-D7D8_BZDET,9039801465,info@choithram.org,,https://www.linkedin.com/in/choithram-hospital-and-research-centre-894164141/,50,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
Shiva Netralaya-Dr Sharad Agrawal,clinic,Clinic listed on OpenStreetMap,"Scheme No. 54, Vijay Nagar, Indore","https://www.google.com/maps/search/?api=1&query=22.7531133,75.8878027",https://www.openstreetmap.org/node/6187460196,https://www.latlong.net/poi/shiva-netralaya-dr-sharad-agrawal-396353,Poor Website,,,,,,Official Website Found,https://www.justdial.com/Indore/Dr-Sharad-AgrawalShiva-Netryalay-Opposite-Meghdoot-Garden-Scheme-No-54-Vijay-Nagar/0731PX731-X731-170420104708-E2L7_BZDET/reviews,"07312550873, 9826066698",,,,50,Medium,Business has some public contact information and moderate opportunity for digital improvement.,Website exists but digital quality is weak; Official website presence found; Phone number is available for outreach; Email address not available; Business appears on third-party platforms,OpenStreetMap,Completed,2026-06-27
